anio,Carboelectrica,Nucleoelectrica,CicloCombinado,TerminaCombustion,Geotermica,Hidroelectrica,Eolica,Fotovoltaica
2013,5498,1634,23720,18766,940,11621,1959,33
2014,5498,1634,23900,19129,940,12414,2655,100
2015,5498,1634,23930,19872,992,12417,3233,149
2016,5498,1634,26037,20613,992,12635,4009,189
2017,5498,1634,26944,21054,992,12641,4474,275
2018,5498,1634,28324,21681,992,12641,4677,231
2019,5498,1634,31686,22186,992,12641,5970,4478
2020,5498,1634,34034,23043,992,12641,6654,6132
2021,5498,1634,35540,23243,992,12641,7354,6689
2022,5498,1634,36183,23236,992,12641,7354,7209
2023,5498,1634,36646,23276,992,12641,7462,7211
