estado,agricola,publico,comercial,mediana_industria,grande_industria,residencial,total,,,,
Aguascalientes,326,55,159,1280,515,524,2860,,,,
Baja California,334,108,606,5173,1694,4465,12382,,,,
Baja California Sur,208,32,216,1224,82,1070,2835,,,,
Campeche,34,68,113,370,6,775,1370,,,,
CDMX,1,70,1567,6654,145,3441,11887,,,,
Chiapas,85,127,326,892,27,1910,3374,,,,
Chihuahua,3979,144,382,4184,1902,2462,13061,,,,
Coahuila,839,98,311,3347,2447,2411,9458,,,,
Colima,99,25,127,558,785,532,2132,,,,
Durango,591,60,135,1395,450,699,3340,,,,
Guanajuato,1770,187,590,4382,1364,2203,10507,,,,
Guerrero,11,116,253,885,409,1535,3221,,,,
Hidalgo,103,105,272,1331,865,916,3605,,,,
Jalisco,928,217,1170,6186,1523,3609,13647,,,,
México,60,496,1266,7513,2920,4659,16929,,,,
Michoacán,532,158,530,1463,293,2015,5007,,,,
Morelos,55,68,218,844,217,953,2372,,,,
Nayarit,18,29,152,769,15,831,1832,,,,
Nuevo Leon,149,206,670,8337,3731,5656,18768,,,,
Oaxaca,46,124,319,586,413,1523,3031,,,,
Puebla,435,226,618,2526,1292,2119,7237,,,,
Querétaro,302,91,317,2698,670,961,5061,,,,
Quintana Roo,6,77,315,2943,49,2078,5491,,,,
San Luis Potosi,407,107,285,1758,1212,1320,5113,,,,
Sinaloa,278,107,469,2209,39,4391,7518,,,,
Sonora,1254,94,482,3504,1495,4690,11545,,,,
Tabasco,9,98,280,861,114,2195,3584,,,,
Tamaulipas,105,142,363,3396,1395,3533,8962,,,,
Tlaxcala,36,51,111,686,245,413,1571,,,,
Veracruz,205,253,706,2489,2183,4092,9958,,,,
Yucatán,71,90,344,1610,114,1928,4188,,,,
Zacatecas,797,81,136,559,294,580,2479,,,,
