Capacidad instalada y generaci¢n de electricidad por sector y fuente de energ¡a limpia ,,,,,
(Numero) ,,,,,
Entidad federativa,Sector,Tipo de energ¡a limpia,Establecimientos,Capacidad instalada (MW),Generaci¢n (GWh/a)
Aguascalientes,Privado,Biomasa,2,3.63,8.52
,,Cogeneracion eficiente,1,4.1,28.53
,,Eolica,1,129,0
,,Solar,1,0.79,3.16
,,Total,5,137.52,40.21
,Total,Total,5,137.52,40.21
Baja California,CFE,E¢lica,1,0.6,0
,,Geot‚rmica,1,574.85,"3,709.25"
,,Solar,1,574.85,"3,709.25"
,,Total,3,"1,150.30","7,418.50"
,Privado,E¢lica,2,166,400.87
,,Solar,1,1.04,1.64
,,Total,3,167.04,402.51
,Total,Total,6,"1,317.34","7,821.01"
Baja California Sur,CFE,Geot‚rmica,1,10,53.64
,,Solar,1,0.97,1.16
,,Total,2,10.97,54.8
,Privado,Solar,1,30,18.37
,,Total,1,30,18.37
,Total,Total,3,40.97,73.17
Coahuila,CFE,Hidr ulica,1,66,24.93
,,Total,1,66,24.93
,Privado,Biomasa,2,2.98,13.78
,,Cogeneraci¢n eficiente,1,60.1,260.68
,,E¢lica,1,200.6,0
,,Total,4,263.68,274.46
,Total,Total,5,329.68,299.39
Colima,Privado,Biomasa,1,5.5,23.8
,,Total,1,5.5,23.8
,Total,Total,1,5.5,23.8
Chiapas,CFE,Hidr ulica,7,"4,828.48","10,440.62"
,,Total,7,"4,828.48","10,440.62"
,Privado,Biomasa,3,26.66,51.18
,,E¢lica,1,32,89.61
,,Total,4,58.66,140.79
,Total,Total,11,"4,887.14","10,581.41"
Chihuahua,CFE,Hidr ulica,2,28,91.24
,,Total,2,28,91.24
,Privado,Biomasa,2,7.2,26.68
,,Solar,1,20,0
,,Total,3,27.2,26.68
,Total,Total,5,55.2,117.92
Ciudad de M‚xico,Privado,Cogeneraci¢n eficiente,3,4.03,16.31
,,Otro,1,6.61,3.6
,,Total,4,10.64,19.91
,Total,Total,4,10.64,19.91
Durango,Privado,Biomasa,1,1.6,1.36
,,Hidr ulica,1,19.73,58.31
,,Solar,6,77.26,83.43
,,Total,8,98.59,143.1
,Total,Total,8,98.59,143.1
Guanajuato,Privado,Biomasa,1,1.75,1.4
,,Hidr ulica,1,2.49,4.97
,,Solar,1,0.98,0
,,Total,3,5.22,6.37
,Total,Total,3,5.22,6.37
Guerrero,CFE,Hidr ulica,3,638,371.69
,,Total,3,638,371.69
,Privado,Hidr ulica,1,30,135.76
,,Total,1,30,135.76
,Total,Total,4,668,507.45
Hidalgo,CFE,Hidr ulica,1,292,978.8
,,Total,1,292,978.8
,Privado,Cogeneraci¢n eficiente,2,66.6,237.78
,,Total,2,66.6,237.78
,Total,Total,3,358.6,"1,216.58"
Jalisco,CFE,Hidr ulica,6,"1,125.52",759.34
,,Total,6,"1,125.52",759.34
,Privado,Biomasa,9,95.61,231.75
,,Cogeneraci¢n eficiente,1,3.77,11.4
,,E¢lica,1,64.6,183.23
,,Hidr ulica,6,47.09,141.11
,,Total,17,211.07,567.49
,Total,Total,23,"1,336.59","1,326.83"
M‚xico,CFE,Hidr ulica,3,67.53,9.92
,,Total,3,67.53,9.92
,Privado,Biomasa,2,1.57,7.64
,,Cogeneraci¢n eficiente,1,1,3.83
,,Hidr ulica,1,6.99,0
,,Solar,2,19.22,39.68
,,Total,6,28.78,51.15
,Total,Total,9,96.31,61.07
Michoac n,CFE,Geotermica,1,225,"1,647.78"
,,Hidr ulica,11,"1,704.03","2,250.44"
,,Total,12,"1,929.03","3,898.22"
,Privado,Biomasa,3,14.6,22.75
,,Hidr ulica,3,61.05,226.64
,,Total,6,75.65,249.39
,Total,Total,18,"2,004.68","4,147.61"
Morelos,Privado,Biomasa,3,13.07,23.73
,,Total,3,13.07,23.73
,Total,Total,3,13.07,23.73
Nayarit,CFE,Hidr ulica,3,"1,712.18","1,918.10"
,,Total,3,"1,712.18","1,918.10"
,Privado,Biomasa,2,45.36,14.07
,,Geot‚rmica,1,52,115.49
,,Hidr ulica,1,28.8,96.29
,,Total,4,126.16,225.85
,Total,Total,7,"1,838.34","2,143.95"
Nuevo Le¢n,Privado,Biomasa,3,27.76,81.09
,,Cogeneraci¢n eficiente,4,41.4,101.09
,,E¢lica,3,274,726.36
,,Total,10,343.16,908.54
,Total,Total,10,343.16,908.54
Oaxaca,CFE,E¢lica,1,84.2,184.72
,,Hidr ulica,2,356.48,"1,219.95"
,,Total,3,440.68,"1,404.67"
,Privado,Biomasa,3,24.8,59.32
,,E¢lica,22,"2,267.10","7,396.04"
,,Total,25,"2,291.90","7,455.36"
,Total,Total,28,"2,732.58","8,860.03"
Puebla,CFE,Geot‚rmica,1,68.6,507.67
,,Hidr ulica,4,224.92,606.66
,,Total,5,293.52,"1,114.33"
,Privado,Biomasa,2,15.97,19.08
,,Cogeneraci¢n eficiente,2,47.6,400.69
,,E¢lica,1,66,252.58
,,Hidr ulica,18,235.41,691.01
,,Total,23,364.98,"1,363.36"
,Total,Total,28,658.5,"2,477.69"
Quer‚taro,Privado,Biomasa,2,3.8,10.15
,,Total,2,3.8,10.15
,Total,Total,2,3.8,10.15
Quintana Roo,CFE,E¢lica,1,1.5,2.32
,,Total,1,1.5,2.32
,Privado,Biomasa,1,49,39.87
,,Total,1,49,39.87
,Total,Total,2,50.5,42.19
San Luis Potos¡,CFE,Hidr ulica,3,20.13,99.75
,,Total,3,20.13,99.75
,Privado,Biomasa,4,80.7,155.19
,,E¢lica,1,200,489.47
,,Total,5,280.7,644.66
,Total,Total,8,300.83,744.41
Sinaloa,CFE,Hidr ulica,6,777.4,987.37
,,Total,6,777.4,987.37
,Privado,Biomasa,2,23.6,22.67
,,Total,2,23.6,22.67
,Total,Total,8,801,"1,010.04"
Sonora,CFE,Hidr ulica,3,163.8,255.55
,,Total,3,163.8,255.55
,Privado,E¢lica,1,2,4.14
,,Solar,3,2.63,0.66
,,Total,4,4.63,4.8
,Total,Total,7,168.43,260.35
Tabasco,Privado,Biomasa,3,41.7,46.07
,,Cogeneraci¢n eficiente,1,367.4,"2,652.75"
,,Total,4,409.1,"2,698.82"
,Total,Total,4,409.1,"2,698.82"
Tamaulipas,CFE,Hidr ulica,1,31.5,36.89
,,Total,1,31.5,36.89
,Privado,Biomasa,2,51.25,26.65
,,Cogeneraci¢n eficiente,1,35.93,271.23
,,E¢lica,3,166.7,168.83
,,Total,6,253.88,466.71
,Total,Total,7,285.38,503.6
Veracruz,CFE,Hidr ulica,6,90.2,370.22
,,Nuclear,1,"1,634.00","3,857.67"
,,Total,7,"1,724.20","4,227.89"
,Privado,Biomasa,24,393.66,582.72
,,Cogeneraci¢n eficiente,4,390.95,705.24
,,Hidr ulica,7,65.76,204.93
,,Total,35,850.37,"1,492.89"
,Total,Total,42,"2,574.57","5,720.78"
Yucat n,Privado,Cogeneraci¢n eficiente,1,13.13,15.56
,,Total,1,13.13,15.56
,Total,Total,1,13.13,15.56
Zacatecas,Privado,E¢lica,1,140,39.78
,,Total,1,140,39.78
,Total,Total,1,140,39.78
Nacional,CFE,E¢lica,3,86.3,187.04
,,Geot‚rmica,4,878.45,"5,918.34"
,,Hidr ulica,62,"12,126.17","20,241.47"
,,Nuclear,1,"1,634.00","3,857.67"
,,Solar,2,575.82,"3,710.41"
,,Total,72,"15,300.74","34,094.93"
,Privado,Biomasa,77,931.77,"1,469.47"
,,Cogeneraci¢n eficiente,22,"1,036.01","4,705.09"
,,E¢lica,38,"3,708.00","9,750.91"
,,Geot‚rmica,1,52,115.49
,,Hidr ulica,39,497.32,"1,559.02"
,,Solar,16,151.92,146.94
,,Otro,1,6.61,3.6
,,Total,194,"6,383.63","17,750.52"
,Total,Total,266,"21,684.37","51,845.45"
