estado,Potencial,Zona
,Geotermica,
,,
Chiapas,46,Volcan Chichonal
Chiapas,60,Volcan Tacan 
Chihuahua,1,Maguarichic
Chihuahua,27,San Antonio El Bravo
Durango,4,Santiago Papasquiaro
Guanajuato,7,San Bartolome de los Banios
Hidalgo,33,Pathe
Jalisco,11,El Orito-Los Borbollones
Jalisco,45,Hervores de la Vega
Jalisco,52,La Soledad
Jalisco,70,Las Planillas
Jalisco,12,Santa Cruz de Atistique
Michoacan,21,Araro
Michoacan,17,Ixtlan de los Hervores
Michoacan,24,Los Negritos
Michoacan,10,Puruandiro
Nayarit,105,Domo San Pedro
Nayarit,36,Los Hervores-El Molote
Nayarit,74,Volcan Ceboruco
Puebla,107,Acoculco
Baja California,720,Cerro Prieto
Michoacan,188,Los Azufres
Puebla,40,Los Humeros
Baja California Sur,10,Las Tres Vírgenes
Jalisco,75,Cerritos Colorados
